Timestamp,EMG_Value
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1195018,18
1744797966.1195018,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1351805,18
1744797966.1351805,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1378894,19
1744797966.1378894,18
1744797966.1509068,19
1744797966.1509068,18
1744797966.1509068,19
1744797966.1509068,18
1744797966.1509068,19
1744797966.1509068,18
1744797966.1509068,19
1744797966.1509068,18
1744797966.1509068,19
1744797966.1509068,18
1744797966.1529138,19
1744797966.1529138,18
1744797966.1529138,19
1744797966.1529138,18
1744797966.1529138,19
1744797966.1529138,18
1744797966.1529138,19
1744797966.1529138,18
1744797966.1529138,19
1744797966.1529138,18
1744797966.15492,19
1744797966.15492,18
1744797966.15492,19
1744797966.15492,18
1744797966.15492,19
1744797966.15492,18
1744797966.15492,19
1744797966.15492,18
1744797966.15492,19
1744797966.15492,18
1744797966.1569276,19
1744797966.1569276,18
1744797966.1569276,19
1744797966.1569276,18
1744797966.1569276,19
1744797966.1569276,18
1744797966.1569276,19
1744797966.1569276,18
1744797966.1569276,19
1744797966.1569276,18
1744797966.1589332,19
1744797966.1589332,18
1744797966.1589332,19
1744797966.1589332,18
1744797966.1589332,19
1744797966.1589332,18
1744797966.1589332,19
1744797966.1589332,18
1744797966.1589332,19
1744797966.1589332,18
1744797966.1589332,19
1744797966.1589332,18
1744797966.1589332,19
1744797966.1589332,18
1744797966.1589332,19
1744797966.1609392,18
1744797966.1609392,19
1744797966.1609392,18
1744797966.1609392,19
1744797966.1609392,18
1744797966.1609392,19
1744797966.1609392,18
1744797966.1609392,19
1744797966.1609392,18
1744797966.1609392,19
1744797966.1609392,18
1744797966.1609392,19
1744797966.1609392,18
1744797966.1609392,19
1744797966.1609392,18
1744797966.162945,19
1744797966.162945,18
1744797966.162945,19
1744797966.162945,18
1744797966.162945,19
1744797966.162945,18
1744797966.162945,19
1744797966.162945,18
1744797966.162945,19
1744797966.162945,18
1744797966.162945,19
1744797966.162945,18
1744797966.162945,19
1744797966.162945,18
1744797966.1649506,19
1744797966.1649506,18
1744797966.1649506,19
1744797966.1649506,18
1744797966.1649506,19
1744797966.1649506,18
1744797966.1649506,19
1744797966.1649506,18
1744797966.1649506,19
1744797966.1649506,18
1744797966.1649506,19
1744797966.1649506,18
1744797966.1649506,19
1744797966.1649506,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1666944,19
1744797966.1666944,18
1744797966.1826856,19
1744797966.1826856,18
1744797966.1826856,19
1744797966.1826856,18
1744797966.1826856,19
1744797966.1826856,18
1744797966.1826856,19
1744797966.1826856,18
1744797966.1826856,19
1744797966.1826856,18
1744797966.1826856,19
1744797966.1826856,18
1744797966.1826856,19
