timestamp,emotion_label,s1,s2,s3,s4,s5,s6,s7,s8,muscle_name
1747580477,happy,416,36,52,57,25,46,45,61,Zygomaticus Major
1747580477,happy,411,15,7,42,28,17,15,468,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,422,33,42,60,48,59,68,361,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,561,22,7,64,22,54,28,290,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,17,22,11,37,49,13,18,260,Orbicularis oculi
1747580477,happy,397,45,61,58,37,40,60,23,Zygomaticus Major
1747580477,happy,537,62,12,48,41,36,62,666,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,601,51,57,45,52,30,52,61,Zygomaticus Major
1747580477,happy,446,30,36,30,13,22,37,57,Zygomaticus Major
1747580477,happy,52,34,34,10,17,36,12,720,Orbicularis oculi
1747580477,happy,27,20,55,59,17,55,49,584,Orbicularis oculi
1747580477,happy,479,35,49,43,49,52,42,466,"Orbicularis oculi, Zygomaticus Major"
1747580477,happy,67,38,35,22,14,61,5,657,Orbicularis oculi
1747580477,happy,303,42,19,11,42,25,12,559,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,440,23,20,32,42,59,59,259,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,362,42,34,18,61,21,18,599,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,454,57,38,43,14,51,48,728,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,46,34,61,15,62,52,58,271,Orbicularis oculi
1747580477,happy,31,60,54,42,35,45,32,239,Orbicularis oculi
1747580477,happy,304,48,31,55,18,64,65,15,Zygomaticus Major
1747580477,happy,56,47,15,46,30,31,34,362,Orbicularis oculi
1747580477,happy,45,61,10,15,62,16,44,665,Orbicularis oculi
1747580477,happy,231,27,33,57,10,34,39,16,Zygomaticus Major
1747580477,happy,339,62,37,15,58,58,19,452,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,371,54,16,62,15,29,40,425,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,593,64,28,52,54,63,51,301,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,541,37,23,50,23,36,65,247,"Orbicularis oculi, Zygomaticus Major"
1747580477,happy,718,29,29,64,60,54,45,568,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,60,11,48,30,28,32,14,407,Orbicularis oculi
1747580477,happy,260,33,9,43,45,36,21,9,Zygomaticus Major
1747580477,happy,472,33,19,20,36,18,60,37,Zygomaticus Major
1747580477,happy,222,40,12,24,55,38,59,7,Zygomaticus Major
1747580477,happy,544,34,45,17,40,64,9,623,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,251,42,18,34,35,42,23,20,Zygomaticus Major
1747580477,happy,455,33,17,33,17,17,56,44,Zygomaticus Major
1747580477,happy,59,55,52,19,21,41,18,365,Orbicularis oculi
1747580477,happy,530,48,26,64,43,46,45,668,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,19,29,60,9,30,45,53,291,Orbicularis oculi
1747580477,happy,406,37,24,58,51,55,32,289,"Orbicularis oculi, Zygomaticus Major"
1747580477,happy,724,20,57,33,30,60,51,40,Zygomaticus Major
1747580477,happy,227,40,7,43,31,33,44,510,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,385,61,14,29,7,34,53,30,Zygomaticus Major
1747580477,happy,323,39,28,41,54,10,39,366,"Orbicularis oculi, Zygomaticus Major"
1747580477,happy,24,33,51,21,42,18,44,653,Orbicularis oculi
1747580477,happy,716,44,24,47,24,24,45,40,Zygomaticus Major
1747580477,happy,436,15,29,16,52,49,24,34,Zygomaticus Major
1747580477,happy,27,24,60,57,47,63,25,325,Orbicularis oculi
1747580477,happy,286,22,8,59,23,12,31,363,"Orbicularis oculi, Zygomaticus Major"
1747580477,happy,639,2,58,24,60,20,24,399,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,653,32,58,26,59,47,59,740,"Orbicularis oculi, Zygomaticus Major"
1747580477,happy,54,20,43,28,31,33,26,508,Orbicularis oculi
1747580477,happy,294,35,42,61,21,29,56,274,"Orbicularis oculi, Zygomaticus Major"
1747580477,happy,396,15,37,66,29,10,46,511,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,55,27,59,32,45,59,48,738,Orbicularis oculi
1747580477,happy,535,62,20,61,25,56,12,468,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,526,63,18,49,69,62,64,739,"Zygomaticus Major, Orbicularis oculi"
1747580477,happy,542,39,40,63,56,48,51,56,Zygomaticus Major
