timestamp,emotion_label,s1,s2,s3,s4,s5,s6,s7,s8,muscle_name
1747580917,happy,580,9,15,45,22,43,33,209,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,559,44,48,45,16,13,17,208,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,365,19,55,59,27,28,32,618,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,38,46,15,26,33,50,55,592,Orbicularis oculi
1747580917,happy,245,53,25,4,41,25,53,201,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,436,17,7,22,37,45,7,38,Zygomaticus Major
1747580917,happy,503,19,52,39,48,42,25,230,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,469,42,40,23,49,28,6,584,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,557,19,44,51,11,28,8,543,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,383,10,47,12,36,19,18,31,Zygomaticus Major
1747580917,happy,356,57,17,45,48,18,49,377,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,500,11,32,10,42,11,45,260,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,35,54,50,27,44,37,20,294,Orbicularis oculi
1747580917,happy,35,47,19,18,46,25,50,198,Orbicularis oculi
1747580917,happy,590,44,25,40,49,54,39,229,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,542,52,18,16,20,46,52,27,Zygomaticus Major
1747580917,happy,195,28,8,35,20,12,13,9,Zygomaticus Major
1747580917,happy,470,16,24,16,20,49,48,479,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,333,13,46,35,29,17,25,422,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,52,55,53,16,51,34,29,417,Orbicularis oculi
1747580917,happy,273,33,8,12,24,17,41,491,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,382,12,29,44,9,18,51,40,Zygomaticus Major
1747580917,happy,463,11,46,34,14,44,13,305,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,520,6,21,7,8,4,9,9,Zygomaticus Major
1747580917,happy,212,56,42,46,31,50,18,623,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,559,7,39,18,50,46,19,29,Zygomaticus Major
1747580917,happy,32,59,20,42,41,14,53,357,Orbicularis oculi
1747580917,happy,308,25,33,28,10,45,46,315,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,269,48,38,14,32,19,52,510,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,462,39,36,43,23,40,55,429,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,434,28,43,36,5,26,51,341,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,370,26,45,27,37,49,10,497,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,24,17,34,46,38,14,21,515,Orbicularis oculi
1747580917,happy,285,36,45,33,29,34,21,451,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,240,10,48,9,25,5,21,52,Zygomaticus Major
1747580917,happy,575,46,33,50,42,38,40,43,Zygomaticus Major
1747580917,happy,53,29,9,37,17,19,51,529,Orbicularis oculi
1747580917,happy,571,24,41,16,26,55,25,198,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,509,42,35,52,35,51,41,561,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,201,33,11,12,33,24,32,22,Zygomaticus Major
1747580917,happy,577,44,11,15,40,39,44,576,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,338,44,14,25,28,29,54,38,Zygomaticus Major
1747580917,happy,342,27,37,23,39,18,36,295,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,46,40,17,31,44,16,20,464,Orbicularis oculi
1747580917,happy,11,13,37,30,24,47,20,480,Orbicularis oculi
1747580917,happy,529,33,51,23,41,40,18,424,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,319,27,43,41,51,35,49,279,"Zygomaticus Major, Orbicularis oculi"
1747580917,happy,508,21,32,43,23,32,50,9,Zygomaticus Major
1747580917,happy,401,50,21,27,36,41,32,250,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,564,41,15,45,38,44,20,23,Zygomaticus Major
1747580917,happy,217,23,41,35,31,27,12,490,"Orbicularis oculi, Zygomaticus Major"
1747580917,happy,28,43,28,14,58,36,45,428,Orbicularis oculi
